Game ID,Period,Time,Team,Player,Player_ID,Penalty,PIM
202310150ANA,1st Period,10.95,CAR,Michael Bunting,buntimi01,Roughing,2 min
202310150ANA,1st Period,10.95,ANA,Frank Vatrano,vatrafr01,Roughing,2 min
202310150ANA,1st Period,13.93,ANA,Mason McTavish,mctavma01,Interference,2 min
202310150ANA,1st Period,17.25,CAR,Jordan Martinook,martijo01,Tripping,2 min
202310150ANA,1st Period,19.07,ANA,Troy Terry,terrytr01,High Sticking,4 min
,2nd Period,,,,,,
202310150ANA,2nd Period,3.9,CAR,Sebastian Aho,ahose01,Tripping,2 min
202310150ANA,2nd Period,9.62,ANA,Ilya Lyubushkin,lyubuil01,Interference,2 min
202310150ANA,2nd Period,20,ANA,Radko Gudas,gudasra01,Roughing,2 min
202310150ANA,2nd Period,20,ANA,Radko Gudas,gudasra01,Roughing,2 min
202310150ANA,2nd Period,20,ANA,Radko Gudas,gudasra01,Misconduct,10 min
202310150ANA,2nd Period,20,CAR,Brendan Lemieux,lemiebr01,Roughing,2 min
202310150ANA,2nd Period,20,CAR,Brendan Lemieux,lemiebr01,Misconduct,10 min
202310150ANA,2nd Period,20,CAR,Stefan Noesen,noesest01,Roughing,2 min
,3rd Period,,,,,,
202310150ANA,3rd Period,1.12,ANA,Ryan Strome,stromry01,Hooking,2 min
202310150ANA,3rd Period,14.88,ANA,Trevor Zegras,zegratr01,Holding Stick,2 min
,1st Period,,,,,,
202310190ANA,1st Period,5.48,ANA,Mason McTavish,mctavma01,Tripping,2 min
202310190ANA,1st Period,8.83,DAL,Ryan Suter,suterry01,Cross Checking,2 min
202310190ANA,1st Period,13.72,ANA,Mason McTavish,mctavma01,Holding,2 min
202310190ANA,1st Period,17.03,DAL,Mason Marchment,marchma01,Hooking,2 min
,2nd Period,,,,,,
202310190ANA,2nd Period,0.5,DAL,Jani Hakanpää,hakanja01,Interference,2 min
202310190ANA,2nd Period,9.77,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
202310190ANA,2nd Period,13.45,DAL,Ryan Suter,suterry01,Tripping,2 min
202310190ANA,2nd Period,13.78,ANA,Trevor Zegras,zegratr01,Hooking,2 min
202310190ANA,2nd Period,17.85,ANA,Jakob Silfverberg,silfvja01,Tripping,2 min
,1st Period,,,,,,
202310220ANA,1st Period,0.48,BOS,Brad Marchand,marchbr03,Cross Checking,2 min
202310220ANA,1st Period,2.32,ANA,Brett Leason,leasobr01,Tripping,2 min
202310220ANA,1st Period,12.33,ANA,Radko Gudas,gudasra01,High Sticking,2 min
202310220ANA,1st Period,18.82,ANA,Radko Gudas,gudasra01,Interference,2 min
,2nd Period,,,,,,
202310220ANA,2nd Period,3.68,BOS,Ian Mitchell,mitchia01,Delay of Game,2 min
202310220ANA,2nd Period,8.17,BOS,Charlie Coyle,coylech01,Illegal Equipment,2 min
202310220ANA,2nd Period,8.17,ANA,Max Jones,jonesma03,Roughing,2 min
202310220ANA,2nd Period,12.95,BOS,Ian Mitchell,mitchia01,Tripping,2 min
202310220ANA,2nd Period,14.42,ANA,Troy Terry,terrytr01,Interference,2 min
,3rd Period,,,,,,
202310220ANA,3rd Period,18.98,ANA,Trevor Zegras,zegratr01,Slashing,2 min
,1st Period,,,,,,
202311010ANA,1st Period,2.65,ARI,Travis Boyd,boydtr01,Holding,2 min
202311010ANA,1st Period,7.57,ANA,Brett Leason,leasobr01,Tripping,2 min
202311010ANA,1st Period,9.23,ARI,Clayton Keller,kellecl01,Interference,2 min
202311010ANA,1st Period,15.3,ANA,Radko Gudas,gudasra01,Roughing,2 min
202311010ANA,1st Period,15.3,ARI,Barrett Hayton,haytoba01,Roughing,2 min
,2nd Period,,,,,,
202311010ANA,2nd Period,4.95,ANA,Benoit-Olivier Groulx,groulbe01,Unsportsmanlike Conduct,2 min
202311010ANA,2nd Period,8.18,ANA,Jackson LaCombe,lacomja01,Tripping,2 min
202311010ANA,2nd Period,14.7,ARI,Jack McBain,mcbaija03,Tripping,2 min
,3rd Period,,,,,,
202311010ANA,3rd Period,0.73,ARI,Jack McBain,mcbaija03,Cross Checking,2 min
202311010ANA,3rd Period,11.65,ANA,Trevor Zegras,zegratr01,Slashing,2 min
202311010ANA,3rd Period,13.08,ARI,Sean Durzi,durzise01,Fighting,5 min
202311010ANA,3rd Period,13.08,ARI,Sean Durzi,durzise01,Misconduct,10 min
202311010ANA,3rd Period,13.08,ANA,Frank Vatrano,vatrafr01,Fighting,5 min
,1st Period,,,,,,
202311050ANA,1st Period,13.57,VEG,William Carrier,carriwi01,Tripping,2 min
202311050ANA,1st Period,13.57,ANA,Adam Henrique,henriad01,Interference,2 min
,2nd Period,,,,,,
202311050ANA,2nd Period,7.5,ANA,Sam Carrick,carrisa01,Tripping,2 min
202311050ANA,2nd Period,13.28,ANA,Pavel Mintyukov,mintypa01,Holding,2 min
202311050ANA,2nd Period,13.47,VEG,Mark Stone,stonema01,Tripping,2 min
202311050ANA,2nd Period,19.77,VEG,Brayden Pachal,pachabr01,Interference,2 min
,3rd Period,,,,,,
202311050ANA,3rd Period,6.98,ANA,Bench,#N/A,Too Many Men on the Ice,2 min
202311050ANA,3rd Period,11.12,ANA,Ilya Lyubushkin,lyubuil01,Interference,2 min
,1st Period,,,,,,
202311070ANA,1st Period,2.88,PIT,Lars Eller,ellerla01,Tripping,2 min
,2nd Period,,,,,,
202311070ANA,2nd Period,10.22,ANA,Ilya Lyubushkin,lyubuil01,Tripping,2 min
202311070ANA,2nd Period,10.47,PIT,Evgeni Malkin,malkiev01,Tripping,2 min
202311070ANA,2nd Period,13.85,ANA,Mason McTavish,mctavma01,Holding,2 min
202311070ANA,2nd Period,16.22,PIT,Lars Eller,ellerla01,Hooking,2 min
,1st Period,,,,,,
202311100ANA,1st Period,7.18,ANA,Ilya Lyubushkin,lyubuil01,Tripping,2 min
202311100ANA,1st Period,18.03,PHI,Sean Couturier,coutuse01,Tripping,2 min
,2nd Period,,,,,,
202311100ANA,2nd Period,10.55,ANA,Radko Gudas,gudasra01,Cross Checking,2 min
202311100ANA,2nd Period,11.57,PHI,Cam Atkinson,atkinca01,Hooking,2 min
202311100ANA,2nd Period,13.8,PHI,Morgan Frost,frostmo01,Cross Checking,2 min
202311100ANA,2nd Period,16.77,PHI,Cameron York,yorkca01,Slashing,2 min
,3rd Period,,,,,,
