ANA,Anaheim Ducks,2007-2025
ARI,Arizona Coyotes,2015-2024
BOS,Boston Bruins,1925-2025
BUF,Buffalo Sabres,1971-2025
CAR,Carolina Hurricanes,1998-2025
CBJ,Columbus Blue Jackets,2001-2025
CGY,Calgary Flames,1981-2025
CHI,Chicago Blackhawks,1987-2025
COL,Colorado Avalanche,1996-2025
DAL,Dallas Stars,1994-2025
DET,Detroit Red Wings,1933-2025
EDM,Edmonton Oilers,1980-2025
FLA,Florida Panthers,1994-2025
LAK,Los Angeles Kings,1968-2025
MIN,Minnesota Wild,2001-2025
MTL,Montreal Canadiens,1918-2025
NJD,New Jersey Devils,1983-2025
NSH,Nashville Predators,1999-2025
NYI,New York Islanders,1973-2025
NYR,New York Rangers,1927-2025
OTT,Ottawa Senators,1993-2025
PHI,Philadelphia Flyers,1968-2025
PIT,Pittsburgh Penguins,1968-2025
SEA,Seattle Kraken,2022-2025
SJS,San Jose Sharks,1992-2025
STL,St. Louis Blues,1968-2025
TBL,Tampa Bay Lightning,1993-2025
TOR,Toronto Maple Leafs,1927-2025
VAN,Vancouver Canucks,1971-2025
VEG,Vegas Golden Knights,2018-2025
WPG,Winnipeg Jets,2012-2025
WSH,Washington Capitals,1975-2025
