Game_ID,Home Team,Away Team,Goalie,Goalie_ID,Team,DEC,GA,SA,SV,SV%,SO,PIM,Goalie TOI
202310150ANA,ANA,CAR,Antti Raanta,raantan01,CAR,L,4,23,19,0.826,0,0,59:21:00
202310150ANA,ANA,CAR,Empty Net,--,CAR,--,2,2,0,0,0,0,0
202310150ANA,ANA,CAR,Lukáš Dostál,dostalu01,ANA,W,3,35,32,0.914,0,0,59:39:00
202310190ANA,ANA,DAL,Jake Oettinger,oettija01,DAL,W,2,29,27,0.931,0,0,60:00:00
202310190ANA,ANA,DAL,John Gibson,gibsojo02,ANA,L,3,24,21,0.875,0,0,57:47:00
202310220ANA,ANA,BOS,Linus Ullmark,ullmali01,BOS,W,1,31,30,0.968,0,0,60:00:00
202310220ANA,ANA,BOS,John Gibson,gibsojo02,ANA,L,2,25,23,0.92,0,0,58:35:00
202310220ANA,ANA,BOS,Empty Net,--,ANA,--,1,1,0,0,0,0,0
202311010ANA,ANA,ARI,Karel Vejmelka,vejmeka01,ARI,O,4,29,25,0.862,0,0,62:48:00
202311010ANA,ANA,ARI,Lukáš Dostál,dostalu01,ANA,W,3,35,32,0.914,0,0,63:27:00
202311050ANA,ANA,VEG,Logan Thompson,thomplo01,VEG,L,3,22,19,0.864,0,0,59:29:00
202311050ANA,ANA,VEG,Empty Net,--,VEG,--,1,1,0,0,0,0,0
202311050ANA,ANA,VEG,John Gibson,gibsojo02,ANA,W,2,32,30,0.938,0,0,60:00:00
202311070ANA,ANA,PIT,Tristan Jarry,jarrytr01,PIT,W,0,20,20,1,0,0,38:15:00
202311070ANA,ANA,PIT,Magnus Hellberg,hellbma01,PIT,--,0,11,11,1,0,0,21:36
202311070ANA,ANA,PIT,John Gibson,gibsojo02,ANA,L,1,35,34,0.971,0,0,58:49:00
202311070ANA,ANA,PIT,Empty Net,--,ANA,--,1,1,0,0,0,0,0
202311100ANA,ANA,PHI,Samuel Ersson,erssosa01,PHI,W,3,38,35,0.921,0,0,60:00:00
202311100ANA,ANA,PHI,Lukáš Dostál,dostalu01,ANA,L,5,35,30,0.857,0,2,57:30:00
202311100ANA,ANA,PHI,Empty Net,--,ANA,--,1,1,0,0,0,0,0
202311120ANA,ANA,SJS,Mackenzie Blackwood,blackma01,SJS,L,4,44,40,0.909,0,0,60:00:00
202311120ANA,ANA,SJS,John Gibson,gibsojo02,ANA,W,1,26,25,0.962,0,0,59:50:00
202311170ANA,ANA,FLA,Anthony Stolarz,stolaan01,FLA,W,1,35,34,0.971,0,0,59:50:00
202311170ANA,ANA,FLA,John Gibson,gibsojo02,ANA,L,2,35,33,0.943,0,0,57:51:00
202311190ANA,ANA,STL,Joel Hofer,hoferjo01,STL,W,1,31,30,0.968,0,0,59:26:00
202311190ANA,ANA,STL,John Gibson,gibsojo02,ANA,L,3,32,29,0.906,0,0,57:33:00
202311220ANA,ANA,MTL,Sam Montembeault,montesa01,MTL,W,3,33,30,0.909,0,0,59:09:00
202311220ANA,ANA,MTL,John Gibson,gibsojo02,ANA,L,4,28,24,0.857,0,0,58:25:00
202311240ANA,ANA,LAK,Cam Talbot,talboca01,LAK,W,2,31,29,0.935,0,0,60:00:00
202311240ANA,ANA,LAK,John Gibson,gibsojo02,ANA,L,5,31,26,0.839,0,0,59:31:00
202311300ANA,ANA,WSH,Darcy Kuemper,kuempda01,WSH,W,4,32,28,0.875,0,0,60:00:00
202311300ANA,ANA,WSH,John Gibson,gibsojo02,ANA,L,5,26,21,0.808,0,0,58:21:00
202312020ANA,ANA,COL,Ivan Prosvetov,prosviv01,COL,O,3,37,34,0.919,0,0,65:00:00
202312020ANA,ANA,COL,John Gibson,gibsojo02,ANA,W,3,37,34,0.919,0,0,64:41:00
202312100ANA,ANA,WPG,Connor Hellebuyck,helleco01,WPG,W,2,26,24,0.923,0,0,59:26:00
202312100ANA,ANA,WPG,John Gibson,gibsojo02,ANA,L,3,30,27,0.9,0,0,59:35:00
202312100ANA,ANA,WPG,Empty Net,--,ANA,--,1,1,0,0,0,0,0
202312210ANA,ANA,CGY,Jacob Markström,marksja02,CGY,W,0,25,25,1,1,0,60:00:00
202312210ANA,ANA,CGY,Lukáš Dostál,dostalu01,ANA,L,2,43,41,0.953,0,0,59:18:00
202312210ANA,ANA,CGY,Empty Net,--,ANA,--,1,1,0,0,0,0,0
202312230ANA,ANA,SEA,Joey Daccord,daccojo01,SEA,W,2,34,32,0.941,0,0,60:00:00
202312230ANA,ANA,SEA,Lukáš Dostál,dostalu01,ANA,L,3,22,19,0.864,0,0,59:39:00
202312270ANA,ANA,VEG,Logan Thompson,thomplo01,VEG,L,5,26,21,0.808,0,0,56:57:00
202312270ANA,ANA,VEG,John Gibson,gibsojo02,ANA,W,2,32,30,0.938,0,0,60:00:00
202312290ANA,ANA,ARI,Connor Ingram,ingraco01,ARI,W,0,28,28,1,1,0,59:29:00
