Game_ID,Home Team,Away Team,Period,Time,Team,Player,Player_ID,Penalty,PIM
202310150ANA,ANA,CAR,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310150ANA,ANA,CAR,1st Period,10:57,CAR,Michael Bunting,buntimi01,Roughing,2 min
202310150ANA,ANA,CAR,1st Period,10:57,ANA,Frank Vatrano,vatrafr01,Roughing,2 min
202310150ANA,ANA,CAR,1st Period,13:56,ANA,Mason McTavish,mctavma01,Interference,2 min
202310150ANA,ANA,CAR,1st Period,17:15,CAR,Jordan Martinook,martijo01,Tripping,2 min
202310150ANA,ANA,CAR,1st Period,19:04,ANA,Troy Terry,terrytr01,High Sticking,4 min
202310150ANA,ANA,CAR,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202310150ANA,ANA,CAR,2nd Period,3:54,CAR,Sebastian Aho,ahose01,Tripping,2 min
202310150ANA,ANA,CAR,2nd Period,9:37,ANA,Ilya Lyubushkin,lyubuil01,Interference,2 min
202310150ANA,ANA,CAR,2nd Period,20:00,ANA,Radko Gudas,gudasra01,Roughing,2 min
202310150ANA,ANA,CAR,2nd Period,20:00,ANA,Radko Gudas,gudasra01,Roughing,2 min
202310150ANA,ANA,CAR,2nd Period,20:00,ANA,Radko Gudas,gudasra01,Misconduct,10 min
202310150ANA,ANA,CAR,2nd Period,20:00,CAR,Brendan Lemieux,lemiebr01,Roughing,2 min
202310150ANA,ANA,CAR,2nd Period,20:00,CAR,Brendan Lemieux,lemiebr01,Misconduct,10 min
202310150ANA,ANA,CAR,2nd Period,20:00,CAR,Stefan Noesen,noesest01,Roughing,2 min
202310150ANA,ANA,CAR,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202310150ANA,ANA,CAR,3rd Period,1:07,ANA,Ryan Strome,stromry01,Hooking,2 min
202310150ANA,ANA,CAR,3rd Period,14:53,ANA,Trevor Zegras,zegratr01,Holding Stick,2 min
202310190ANA,ANA,DAL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310190ANA,ANA,DAL,1st Period,5:29,ANA,Mason McTavish,mctavma01,Tripping,2 min
202310190ANA,ANA,DAL,1st Period,8:50,DAL,Ryan Suter,suterry01,Cross Checking,2 min
202310190ANA,ANA,DAL,1st Period,13:43,ANA,Mason McTavish,mctavma01,Holding,2 min
202310190ANA,ANA,DAL,1st Period,17:02,DAL,Mason Marchment,marchma01,Hooking,2 min
202310190ANA,ANA,DAL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202310190ANA,ANA,DAL,2nd Period,0:30,DAL,Jani Hakanpää,hakanja01,Interference,2 min
202310190ANA,ANA,DAL,2nd Period,9:46,ANA,Bench,Bench,Too Many Men on the Ice,2 min
202310190ANA,ANA,DAL,2nd Period,13:27,DAL,Ryan Suter,suterry01,Tripping,2 min
202310190ANA,ANA,DAL,2nd Period,13:47,ANA,Trevor Zegras,zegratr01,Hooking,2 min
202310190ANA,ANA,DAL,2nd Period,17:51,ANA,Jakob Silfverberg,silfvja01,Tripping,2 min
202310220ANA,ANA,BOS,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310220ANA,ANA,BOS,1st Period,0:29,BOS,Brad Marchand,marchbr03,Cross Checking,2 min
202310220ANA,ANA,BOS,1st Period,2:19,ANA,Brett Leason,leasobr01,Tripping,2 min
202310220ANA,ANA,BOS,1st Period,12:20,ANA,Radko Gudas,gudasra01,High Sticking,2 min
