Game_ID,Home Team,Away Team,Period,Time,Team,Info,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID
202310150ANA,ANA,CAR,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310150ANA,ANA,CAR,1st Period,6:52,ANA,--,Sam Carrick,carrisa01,Brett Leason,leasobr01,Brett Leason,leasobr01
202310150ANA,ANA,CAR,1st Period,8:31,ANA,--,Frank Vatrano,vatrafr01,Jamie Drysdale,drysdja01,Cam Fowler,fowleca01
202310150ANA,ANA,CAR,1st Period,12:06,ANA,--,Pavel Mintyukov,mintypa01,Jackson LaCombe,lacomja01,Ryan Strome,stromry01
202310150ANA,ANA,CAR,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202310150ANA,ANA,CAR,2nd Period,13:52,CAR,--,Teuvo Teräväinen,teravte01,Brady Skjei,skjeibr01,Brett Pesce,pescebr01
202310150ANA,ANA,CAR,2nd Period,16:44,ANA,--,Frank Vatrano,vatrafr01,Ryan Strome,stromry01,Mason McTavish,mctavma01
202310150ANA,ANA,CAR,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202310150ANA,ANA,CAR,3rd Period,3:01,CAR,PP,Teuvo Teräväinen,teravte01,Brent Burns,burnsbr01,Dmitry Orlov,orlovdm01
202310150ANA,ANA,CAR,3rd Period,15:29,CAR,PP,Martin Nečas,necasma01,Michael Bunting,buntimi01,Tony DeAngelo,deangan01
202310150ANA,ANA,CAR,3rd Period,18:03,ANA,EN,Cam Fowler,fowleca01,Troy Terry,terrytr01,Adam Henrique,henriad01
202310150ANA,ANA,CAR,3rd Period,18:41,ANA,EN,Frank Vatrano,vatrafr01,Mason McTavish,mctavma01,Mason McTavish,mctavma01
202310190ANA,ANA,DAL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310190ANA,ANA,DAL,1st Period,4:37,ANA,--,Troy Terry,terrytr01,Trevor Zegras,zegratr01,Pavel Mintyukov,mintypa01
202310190ANA,ANA,DAL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202310190ANA,ANA,DAL,2nd Period,10:03,DAL,PP,Roope Hintz,hintzro01,Joe Pavelski,paveljo01,Miro Heiskanen,heiskmi01
202310190ANA,ANA,DAL,2nd Period,18:06,DAL,PP,Joe Pavelski,paveljo01,Miro Heiskanen,heiskmi01,Jason Robertson,roberja01
202310190ANA,ANA,DAL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202310190ANA,ANA,DAL,3rd Period,1:01,ANA,--,Leo Carlsson,carlsle01,Troy Terry,terrytr01,Troy Terry,terrytr01
202310190ANA,ANA,DAL,3rd Period,6:47,DAL,--,Miro Heiskanen,heiskmi01,Sam Steel,steelsa01,Tyler Seguin,seguity01
202310220ANA,ANA,BOS,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202310220ANA,ANA,BOS,1st Period,5:05,ANA,--,Mason McTavish,mctavma01,Ryan Strome,stromry01,Frank Vatrano,vatrafr01
202310220ANA,ANA,BOS,1st Period,6:29,BOS,--,Matthew Poitras,poitrma01,Morgan Geekie,geekimo01,Ian Mitchell,mitchia01
202310220ANA,ANA,BOS,1st Period,10:20,BOS,--,Matthew Poitras,poitrma01,Jake DeBrusk,debruja01,Charlie McAvoy,mcavoch01
202310220ANA,ANA,BOS,1st Period,17:26,BOS,EN,Brad Marchand,marchbr03,Charlie Coyle,coylech01,Charlie Coyle,coylech01
202311010ANA,ANA,ARI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311010ANA,ANA,ARI,1st Period,3:46,ANA,PP,Troy Terry,terrytr01,--,--,--,--
202311010ANA,ANA,ARI,1st Period,9:35,ANA,PP,Troy Terry,terrytr01,Pavel Mintyukov,mintypa01,Cam Fowler,fowleca01
202311010ANA,ANA,ARI,1st Period,11:41,ARI,--,Lawson Crouse,crousla01,J.J. Moser,moserja01,Nick Bjugstad,bjugsni01
202311010ANA,ANA,ARI,1st Period,14:51,ARI,--,Logan Cooley,coolelo01,J.J. Moser,moserja01,Liam O'Brien,obrieli01
202311010ANA,ANA,ARI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311010ANA,ANA,ARI,2nd Period,14:25,ARI,--,Lawson Crouse,crousla01,Matias Maccelli,maccema01,Juuso Välimäki,valimju01
202311010ANA,ANA,ARI,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311010ANA,ANA,ARI,3rd Period,4:01,ANA,--,Leo Carlsson,carlsle01,Troy Terry,terrytr01,Radko Gudas,gudasra01
202311010ANA,ANA,ARI,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period
202311010ANA,ANA,ARI,1st OT Period,3:27,ANA,--,Troy Terry,terrytr01,Mason McTavish,mctavma01,Mason McTavish,mctavma01
202311050ANA,ANA,VEG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311050ANA,ANA,VEG,1st Period,8:51,VEG,--,Ivan Barbashev,barbaiv01,Jack Eichel,eicheja01,Jack Eichel,eicheja01
202311050ANA,ANA,VEG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311050ANA,ANA,VEG,2nd Period,13:43,VEG,--,Jack Eichel,eicheja01,Shea Theodore,theodsh01,Brayden McNabb,mcnabbr01
202311050ANA,ANA,VEG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311050ANA,ANA,VEG,3rd Period,1:38,ANA,PP,Adam Henrique,henriad01,Cam Fowler,fowleca01,Frank Vatrano,vatrafr01
202311050ANA,ANA,VEG,3rd Period,10:55,ANA,--,Sam Carrick,carrisa01,Pavel Mintyukov,mintypa01,Pavel Mintyukov,mintypa01
202311050ANA,ANA,VEG,3rd Period,16:20,ANA,--,Mason McTavish,mctavma01,Frank Vatrano,vatrafr01,Ilya Lyubushkin,lyubuil01
202311050ANA,ANA,VEG,3rd Period,18:51,ANA,EN,Sam Carrick,carrisa01,Troy Terry,terrytr01,Cam Fowler,fowleca01
202311070ANA,ANA,PIT,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311070ANA,ANA,PIT,1st Period,12:34,PIT,--,Radim Zohorna,zohorra01,Lars Eller,ellerla01,Erik Karlsson,karlser01
202311070ANA,ANA,PIT,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311070ANA,ANA,PIT,3rd Period,19:40,PIT,EN,Sidney Crosby,crosbsi01,Jake Guentzel,guentja01,Kris Letang,letankr01
202311100ANA,ANA,PHI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311100ANA,ANA,PHI,1st Period,4:57,PHI,--,Sean Couturier,coutuse01,Cam Atkinson,atkinca01,Yegor Zamula,zamulye01
202311100ANA,ANA,PHI,1st Period,12:31,PHI,--,Cam Atkinson,atkinca01,Travis Sanheim,sanhetr01,Tyson Foerster,foersty01
202311100ANA,ANA,PHI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311100ANA,ANA,PHI,2nd Period,2:33,PHI,--,Louis Belpedio,belpelo01,Joel Farabee,farabjo01,Joel Farabee,farabjo01
202311100ANA,ANA,PHI,2nd Period,13:15,ANA,PP,Leo Carlsson,carlsle01,Alex Killorn,killoal01,Mason McTavish,mctavma01
202311100ANA,ANA,PHI,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311100ANA,ANA,PHI,3rd Period,7:39,PHI,--,Travis Sanheim,sanhetr01,Joel Farabee,farabjo01,Cameron York,yorkca01
202311100ANA,ANA,PHI,3rd Period,10:34,ANA,--,Leo Carlsson,carlsle01,Alex Killorn,killoal01,Pavel Mintyukov,mintypa01
202311100ANA,ANA,PHI,3rd Period,13:07,PHI,--,Owen Tippett,tippeow01,Morgan Frost,frostmo01,Morgan Frost,frostmo01
202311100ANA,ANA,PHI,3rd Period,18:32,ANA,PP,Leo Carlsson,carlsle01,Troy Terry,terrytr01,Ryan Strome,stromry01
202311100ANA,ANA,PHI,3rd Period,18:59,PHI,EN,Owen Tippett,tippeow01,Travis Sanheim,sanhetr01,Scott Laughton,laughsc01
202311120ANA,ANA,SJS,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311120ANA,ANA,SJS,1st Period,4:49,ANA,--,Frank Vatrano,vatrafr01,Ilya Lyubushkin,lyubuil01,Ryan Strome,stromry01
202311120ANA,ANA,SJS,1st Period,13:05,SJS,--,Luke Kunin,kuninlu01,Tomáš Hertl,hertlto01,William Eklund,eklunwi01
202311120ANA,ANA,SJS,1st Period,18:22,ANA,PP,Frank Vatrano,vatrafr01,Cam Fowler,fowleca01,Jakob Silfverberg,silfvja01
202311120ANA,ANA,SJS,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311120ANA,ANA,SJS,3rd Period,1:52,ANA,PP,Mason McTavish,mctavma01,Leo Carlsson,carlsle01,Pavel Mintyukov,mintypa01
202311120ANA,ANA,SJS,3rd Period,2:41,ANA,--,Radko Gudas,gudasra01,Ryan Strome,stromry01,Frank Vatrano,vatrafr01
202311170ANA,ANA,FLA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311170ANA,ANA,FLA,1st Period,14:50,FLA,--,Eetu Luostarinen,luostee01,Anton Lundell,lundean01,Anton Lundell,lundean01
202311170ANA,ANA,FLA,1st Period,18:06,FLA,--,Oliver Ekman-Larsson,ekmanol01,Anton Lundell,lundean01,Nick Cousins,cousini01
202311170ANA,ANA,FLA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311170ANA,ANA,FLA,3rd Period,7:39,ANA,PP,Frank Vatrano,vatrafr01,Adam Henrique,henriad01,Cam Fowler,fowleca01
202311190ANA,ANA,STL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311190ANA,ANA,STL,1st Period,9:25,STL,--,Jake Neighbours,neighja01,Oskar Sundqvist,sundqos01,Oskar Sundqvist,sundqos01
202311190ANA,ANA,STL,1st Period,16:34,STL,PP,Pavel Buchnevich,buchnpa01,Jordan Kyrou,kyroujo01,Scott Perunovich,perunsc01
202311190ANA,ANA,STL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
