Season,Date,Game_ID,Player,Player_ID,Team,Location,Opp,Result,GA,SA,SV,SV%,TOI
2023-24,10/11/2023,202310110TOR,Jake Allen,allenja01,MTL,@,TOR,L-SO,5,42,37,88.00%,65.00
2023-24,10/11/2023,202310110TOR,Jake Allen,allenja01,MTL,@,TOR,L-SO,5,42,37,88.00%,65.00
2023-24,10/21/2023,202310210MTL,Jake Allen,allenja01,MTL,vs,WSH,W,2,33,31,94.00%,60.78
2023-24,10/21/2023,202310210MTL,Jake Allen,allenja01,MTL,vs,WSH,W,2,33,31,94.00%,60.78
2023-24,10/23/2023,202310230BUF,Jake Allen,allenja01,MTL,@,BUF,W,1,37,36,97.00%,60.00
2023-24,10/23/2023,202310230BUF,Jake Allen,allenja01,MTL,@,BUF,W,1,37,36,97.00%,60.00
2023-24,10/28/2023,202310280MTL,Jake Allen,allenja01,MTL,vs,WPG,W,3,45,42,93.00%,65.00
2023-24,10/28/2023,202310280MTL,Jake Allen,allenja01,MTL,vs,WPG,W,3,45,42,93.00%,65.00
2023-24,11/2/2023,202311020ARI,Jake Allen,allenja01,MTL,@,ARI,L,3,35,32,91.00%,57.75
2023-24,11/2/2023,202311020ARI,Jake Allen,allenja01,MTL,@,ARI,L,3,35,32,91.00%,57.75
2023-24,11/7/2023,202311070MTL,Jake Allen,allenja01,MTL,vs,TBL,L,4,9,5,56.00%,13.83
2023-24,11/7/2023,202311070MTL,Jake Allen,allenja01,MTL,vs,TBL,L,4,9,5,56.00%,13.83
2023-24,11/12/2023,202311120MTL,Jake Allen,allenja01,MTL,vs,VAN,L,3,35,32,91.00%,58.88
2023-24,11/12/2023,202311120MTL,Jake Allen,allenja01,MTL,vs,VAN,L,3,35,32,91.00%,58.88
2023-24,11/18/2023,202311180BOS,Jake Allen,allenja01,MTL,@,BOS,L,5,44,39,89.00%,60.00
2023-24,11/18/2023,202311180BOS,Jake Allen,allenja01,MTL,@,BOS,L,5,44,39,89.00%,60.00
2023-24,11/25/2023,202311250LAK,Jake Allen,allenja01,MTL,@,LAK,L,4,30,26,87.00%,60.00
2023-24,11/25/2023,202311250LAK,Jake Allen,allenja01,MTL,@,LAK,L,4,30,26,87.00%,60.00
2023-24,12/2/2023,202312020MTL,Jake Allen,allenja01,MTL,vs,DET,L-OT,5,33,28,85.00%,60.82
2023-24,12/2/2023,202312020MTL,Jake Allen,allenja01,MTL,vs,DET,L-OT,5,33,28,85.00%,60.82
2023-24,12/10/2023,202312100MTL,Jake Allen,allenja01,MTL,vs,NSH,L,2,32,30,94.00%,58.53
2023-24,12/10/2023,202312100MTL,Jake Allen,allenja01,MTL,vs,NSH,L,2,32,30,94.00%,58.53
2023-24,12/18/2023,202312180WPG,Jake Allen,allenja01,MTL,@,WPG,W,2,32,30,94.00%,61.15
2023-24,12/18/2023,202312180WPG,Jake Allen,allenja01,MTL,@,WPG,W,2,32,30,94.00%,61.15
2023-24,12/30/2023,202312300FLA,Jake Allen,allenja01,MTL,@,FLA,L,3,25,22,88.00%,58.93
2023-24,12/30/2023,202312300FLA,Jake Allen,allenja01,MTL,@,FLA,L,3,25,22,88.00%,58.93
2023-24,1/4/2024,202401040MTL,Jake Allen,allenja01,MTL,vs,BUF,L,5,37,32,87.00%,59.43
2023-24,1/4/2024,202401040MTL,Jake Allen,allenja01,MTL,vs,BUF,L,5,37,32,87.00%,59.43
2023-24,1/15/2024,202401150MTL,Jake Allen,allenja01,MTL,vs,COL,W,3,35,32,91.00%,60.00
2023-24,1/15/2024,202401150MTL,Jake Allen,allenja01,MTL,vs,COL,W,3,35,32,91.00%,60.00
2023-24,1/23/2024,202401230MTL,Jake Allen,allenja01,MTL,vs,OTT,L,3,27,24,89.00%,58.47
2023-24,1/23/2024,202401230MTL,Jake Allen,allenja01,MTL,vs,OTT,L,3,27,24,89.00%,58.47
2023-24,1/27/2024,202401270PIT,Jake Allen,allenja01,MTL,@,PIT,L-OT,3,33,30,91.00%,62.00
2023-24,1/27/2024,202401270PIT,Jake Allen,allenja01,MTL,@,PIT,L-OT,3,33,30,91.00%,62.00
2023-24,2/11/2024,202402110MTL,Jake Allen,allenja01,MTL,vs,STL,L,7,36,29,81.00%,60.00
2023-24,2/11/2024,202402110MTL,Jake Allen,allenja01,MTL,vs,STL,L,7,36,29,81.00%,60.00
2023-24,2/17/2024,202402170MTL,Jake Allen,allenja01,MTL,vs,WSH,L,4,34,30,88.00%,57.67
2023-24,2/17/2024,202402170MTL,Jake Allen,allenja01,MTL,vs,WSH,L,4,34,30,88.00%,57.67
2023-24,2/24/2024,202402240NJD,Jake Allen,allenja01,MTL,@,NJD,L,4,24,20,83.00%,57.80
2023-24,2/24/2024,202402240NJD,Jake Allen,allenja01,MTL,@,NJD,L,4,24,20,83.00%,57.80
2023-24,3/5/2024,202403050NSH,Jake Allen,allenja01,MTL,@,NSH,W,3,28,25,89.00%,60.28
2023-24,3/5/2024,202403050NSH,Jake Allen,allenja01,MTL,@,NSH,W,3,28,25,89.00%,60.28
2023-24,3/14/2024,202403140DAL,Jake Allen,allenja01,NJD,@,DAL,W,2,37,35,95.00%,60.00
2023-24,3/14/2024,202403140DAL,Jake Allen,allenja01,NJD,@,DAL,W,2,37,35,95.00%,60.00
2023-24,3/17/2024,202403170VEG,Jake Allen,allenja01,NJD,@,VEG,L,2,36,34,94.00%,58.68
2023-24,3/17/2024,202403170VEG,Jake Allen,allenja01,NJD,@,VEG,L,2,36,34,94.00%,58.68
2023-24,3/19/2024,202403190NJD,Jake Allen,allenja01,NJD,vs,PIT,W,2,38,36,95.00%,60.00
2023-24,3/19/2024,202403190NJD,Jake Allen,allenja01,NJD,vs,PIT,W,2,38,36,95.00%,60.00
2023-24,3/21/2024,202403210NJD,Jake Allen,allenja01,NJD,vs,WPG,W,1,19,18,95.00%,60.00
2023-24,3/21/2024,202403210NJD,Jake Allen,allenja01,NJD,vs,WPG,W,1,19,18,95.00%,60.00
2023-24,3/23/2024,202403230NJD,Jake Allen,allenja01,NJD,vs,OTT,L,5,25,20,80.00%,60.00
