Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
1,10/14/2023,202310140VEG,ANA,@,VEG,1,4,L,,23,22,38,17,41,53,43.60%,31,37,45.60%,23,18
2,10/15/2023,202310150ANA,ANA,vs,CAR,6,3,W,,25,28,35,20,44,67,39.60%,36,44,45.00%,21,24
3,10/19/2023,202310190ANA,ANA,vs,DAL,2,3,L,,29,10,24,8,52,45,53.60%,33,36,47.80%,14,26
4,10/21/2023,202310210ARI,ANA,@,ARI,1,2,L,,33,19,27,15,44,43,50.60%,33,28,54.10%,12,18
5,10/22/2023,202310220ANA,ANA,vs,BOS,1,3,L,,31,12,26,8,50,33,60.20%,41,26,61.20%,17,20
6,10/24/2023,202310240CBJ,ANA,@,CBJ,3,2,W,OT,27,14,37,8,40,49,44.90%,27,37,42.20%,23,13
7,10/26/2023,202310260BOS,ANA,@,BOS,4,3,W,OT,32,8,30,12,46,43,51.70%,36,33,52.20%,18,23
8,10/28/2023,202310280PHI,ANA,@,PHI,7,4,W,,25,13,30,9,36,55,39.60%,26,38,40.60%,18,34
9,10/30/2023,202310300PIT,ANA,@,PIT,4,3,W,,27,14,42,6,42,57,42.40%,30,43,41.10%,10,29
10,11/1/2023,202311010ANA,ANA,vs,ARI,4,3,W,OT,29,15,35,25,32,55,36.80%,26,41,38.80%,17,27
11,11/5/2023,202311050ANA,ANA,vs,VEG,4,2,W,,23,10,32,6,48,50,49.00%,34,39,46.60%,22,18
12,11/7/2023,202311070ANA,ANA,vs,PIT,0,2,L,,31,4,36,6,42,53,44.20%,30,40,42.90%,26,31
13,11/10/2023,202311100ANA,ANA,vs,PHI,3,6,L,,38,6,36,12,48,45,51.60%,33,37,47.10%,23,21
14,11/12/2023,202311120ANA,ANA,vs,SJS,4,1,W,,44,18,26,24,52,39,57.10%,40,32,55.60%,24,21
15,11/14/2023,202311140NSH,ANA,@,NSH,3,2,W,,20,30,30,16,34,44,43.60%,26,28,48.10%,23,17
16,11/15/2023,202311150COL,ANA,@,COL,2,8,L,,17,10,38,8,34,41,45.30%,25,35,41.70%,27,24
17,11/17/2023,202311170ANA,ANA,vs,FLA,1,2,L,,35,8,35,6,54,57,48.60%,42,35,54.50%,21,29
18,11/19/2023,202311190ANA,ANA,vs,STL,1,3,L,,31,12,32,4,43,41,51.20%,30,36,45.50%,15,23
19,11/22/2023,202311220ANA,ANA,vs,MTL,3,4,L,,33,8,28,4,64,43,59.80%,47,29,61.80%,25,28
20,11/24/2023,202311240ANA,ANA,vs,LAK,2,5,L,,31,19,31,17,50,47,51.50%,39,38,50.60%,25,24
21,11/26/2023,202311260EDM,ANA,@,EDM,2,8,L,,23,12,26,6,45,31,59.20%,31,22,58.50%,21,21
22,11/28/2023,202311280VAN,ANA,@,VAN,1,3,L,,31,10,27,8,37,46,44.60%,31,36,46.30%,13,20
23,11/30/2023,202311300ANA,ANA,vs,WSH,4,5,L,,32,16,26,14,51,29,63.80%,38,20,65.50%,26,22
24,12/2/2023,202312020ANA,ANA,vs,COL,4,3,W,SO,37,6,37,6,55,57,49.10%,41,42,49.40%,33,23
25,12/5/2023,202312050COL,ANA,@,COL,2,3,L,,33,6,30,6,48,49,49.50%,31,38,44.90%,18,22
26,12/7/2023,202312070CHI,ANA,@,CHI,0,1,L,,37,8,25,6,58,34,63.00%,39,27,59.10%,21,19
27,12/10/2023,202312100ANA,ANA,vs,WPG,2,4,L,,26,28,31,9,41,44,48.20%,30,33,47.60%,19,22
28,12/13/2023,202312130NYI,ANA,@,NYI,3,4,L,,24,8,35,4,39,54,41.90%,28,42,40.00%,27,29
29,12/15/2023,202312150NYR,ANA,@,NYR,1,5,L,,30,32,39,6,49,50,49.50%,42,36,53.80%,22,24
30,12/17/2023,202312170NJD,ANA,@,NJD,5,1,W,,28,29,29,19,39,44,47.00%,30,31,49.20%,20,17
31,12/18/2023,202312180DET,ANA,@,DET,4,3,W,,22,18,32,10,40,49,44.90%,32,34,48.50%,18,26
32,12/21/2023,202312210ANA,ANA,vs,CGY,0,3,L,,25,19,44,13,44,37,54.30%,27,28,49.10%,22,18
33,12/23/2023,202312230ANA,ANA,vs,SEA,2,3,L,,34,2,22,6,46,52,46.90%,35,34,50.70%,30,19
34,12/27/2023,202312270ANA,ANA,vs,VEG,5,2,W,,26,10,32,2,42,58,42.00%,34,34,50.00%,16,19
35,12/29/2023,202312290ANA,ANA,vs,ARI,0,2,L,,28,10,32,10,46,57,44.70%,34,41,45.30%,31,19
36,12/31/2023,202312310ANA,ANA,vs,EDM,2,7,L,,30,31,39,41,44,55,44.40%,33,42,44.00%,17,17
37,1/3/2024,202401030ANA,ANA,vs,TOR,1,2,L,OT,28,29,57,24,34,71,32.40%,24,53,31.20%,18,31
38,1/5/2024,202401050ANA,ANA,vs,WPG,1,3,L,,38,4,27,6,68,56,54.80%,51,38,57.30%,30,21
39,1/7/2024,202401070ANA,ANA,vs,DET,2,3,L,,31,10,28,8,41,32,56.20%,30,22,57.70%,18,16
40,1/9/2024,202401090NSH,ANA,@,NSH,5,3,W,,33,11,42,11,44,59,42.70%,31,45,40.80%,30,30
41,1/11/2024,202401110CAR,ANA,@,CAR,3,6,L,,16,13,34,17,30,44,40.50%,23,34,40.40%,24,22
42,1/13/2024,202401130TBL,ANA,@,TBL,1,5,L,,20,10,41,20,38,57,40.00%,25,48,34.20%,21,21
43,1/15/2024,202401150FLA,ANA,@,FLA,5,4,W,OT,26,14,33,16,43,59,42.20%,34,46,42.50%,19,31
44,1/16/2024,202401160WSH,ANA,@,WSH,0,2,L,,24,9,28,11,54,45,54.50%,35,34,50.70%,23,16
45,1/20/2024,202401200SJS,ANA,@,SJS,3,5,L,,34,8,19,10,51,50,50.50%,38,31,55.10%,23,21
46,1/21/2024,202401210ANA,ANA,vs,NYR,2,5,L,,18,8,33,6,27,70,27.80%,18,46,28.10%,27,23
47,1/23/2024,202401230ANA,ANA,vs,BUF,4,2,W,,36,38,30,30,45,54,45.50%,37,39,48.70%,17,24
48,1/25/2024,202401250DAL,ANA,@,DAL,3,4,L,OT,21,6,44,2,39,65,37.50%,33,49,40.20%,18,25
49,1/27/2024,202401270MIN,ANA,@,MIN,3,2,W,,25,8,37,4,37,46,44.60%,26,32,44.80%,24,19
50,1/31/2024,202401310ANA,ANA,vs,SJS,3,2,W,OT,34,18,28,10,68,35,66.00%,42,27,60.90%,24,15
51,2/9/2024,202402090ANA,ANA,vs,EDM,3,5,L,,27,4,32,4,35,53,39.80%,25,42,37.30%,20,22
52,2/13/2024,202402130MTL,ANA,@,MTL,0,5,L,,13,29,38,33,39,46,45.90%,25,34,42.40%,17,16
53,2/15/2024,202402150OTT,ANA,@,OTT,5,1,W,,20,12,34,8,35,49,41.70%,26,39,40.00%,25,22
54,2/17/2024,202402170TOR,ANA,@,TOR,2,9,L,,21,29,32,15,44,44,50.00%,29,33,46.80%,14,19
55,2/19/2024,202402190BUF,ANA,@,BUF,4,3,W,,14,6,37,4,28,60,31.80%,19,44,30.20%,24,17
56,2/21/2024,202402210ANA,ANA,vs,CBJ,4,7,L,,31,13,27,17,46,41,52.90%,36,32,52.90%,20,17
57,2/24/2024,202402240LAK,ANA,@,LAK,2,3,L,SO,24,10,50,6,55,79,41.00%,38,67,36.20%,16,32
58,2/25/2024,202402250ANA,ANA,vs,NSH,2,4,L,,31,13,29,11,55,49,52.90%,36,32,52.90%,17,22
59,2/29/2024,202402290SJS,ANA,@,SJS,6,4,W,,30,14,28,12,46,45,50.50%,34,32,51.50%,23,30
60,3/1/2024,202403010ANA,ANA,vs,NJD,4,3,W,,23,13,55,19,35,79,30.70%,26,60,30.20%,25,36
61,3/3/2024,202403030ANA,ANA,vs,VAN,1,2,L,,18,4,31,2,44,54,44.90%,29,36,44.60%,15,22
62,3/6/2024,202403060ANA,ANA,vs,OTT,2,1,W,,16,8,30,10,36,57,38.70%,23,41,35.90%,13,19
63,3/8/2024,202403080ANA,ANA,vs,DAL,2,6,L,,27,10,36,8,42,47,47.20%,27,36,42.90%,20,23
64,3/10/2024,202403100ANA,ANA,vs,NYI,1,6,L,,23,12,19,6,40,34,54.10%,28,26,51.90%,18,19
65,3/12/2024,202403120CHI,ANA,@,CHI,2,7,L,,29,43,31,45,45,44,50.60%,33,25,56.90%,14,26
66,3/14/2024,202403140MIN,ANA,@,MIN,0,2,L,,16,4,31,2,43,42,50.60%,27,32,45.80%,18,19
67,3/15/2024,202403150WPG,ANA,@,WPG,0,6,L,,21,20,38,20,35,63,35.70%,25,49,33.80%,9,28
68,3/17/2024,202403170STL,ANA,@,STL,2,4,L,,28,12,27,4,47,42,52.80%,34,29,54.00%,13,29
69,3/19/2024,202403190ANA,ANA,vs,MIN,0,4,L,,27,10,32,6,37,33,52.90%,27,26,50.90%,9,25
70,3/21/2024,202403210ANA,ANA,vs,CHI,4,0,W,,25,14,29,22,43,39,52.40%,30,30,50.00%,28,17
71,3/24/2024,202403240ANA,ANA,vs,TBL,2,3,L,OT,32,6,27,8,44,51,46.30%,30,37,44.80%,20,26
