Game_ID,Date,Team,Location,Opp,Result,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID,Goalie,Goalie_ID username,Per.,Time
202310140VEG,10/14/2023,VEG,vs,ANA,W,Jack Eichel,eicheja01,Shea Theodore,theodsh01,Chandler Stephenson,stephch02,John Gibson,gibsojo02,1,19.97
202310140VEG,10/14/2023,VEG,vs,ANA,W,Chandler Stephenson,stephch02,Paul Cotter,cottepa01,Brayden McNabb,mcnabbr01,John Gibson,gibsojo02,2,15.05
202310140VEG,10/14/2023,VEG,vs,ANA,W,Shea Theodore,theodsh01,Jack Eichel,eicheja01,Chandler Stephenson,stephch02,John Gibson,gibsojo02,3,6.27
202310140VEG,10/14/2023,VEG,vs,ANA,W,Jonas Røndbjerg,rondbjo01,Nicolas Hague,hagueni01,Nicolas Roy,royni01,EN,--,3,17.53
202310150ANA,10/15/2023,CAR,@,ANA,L,Teuvo Teräväinen,teravte01,Brady Skjei,skjeibr01,Brett Pesce,pescebr01,Lukáš Dostál,dostalu01,2,13.87
202310150ANA,10/15/2023,CAR,@,ANA,L,Teuvo Teräväinen,teravte01,Brent Burns,burnsbr01,Dmitry Orlov,orlovdm01,Lukáš Dostál,dostalu01,3,3.02
202310150ANA,10/15/2023,CAR,@,ANA,L,Martin Nečas,necasma01,Michael Bunting,buntimi01,Tony DeAngelo,deangan01,Lukáš Dostál,dostalu01,3,15.48
202310190ANA,10/19/2023,DAL,@,ANA,W,Roope Hintz,hintzro01,Joe Pavelski,paveljo01,Miro Heiskanen,heiskmi01,John Gibson,gibsojo02,2,10.05
202310190ANA,10/19/2023,DAL,@,ANA,W,Joe Pavelski,paveljo01,Miro Heiskanen,heiskmi01,Jason Robertson,roberja01,John Gibson,gibsojo02,2,18.1
202310190ANA,10/19/2023,DAL,@,ANA,W,Miro Heiskanen,heiskmi01,Sam Steel,steelsa01,Tyler Seguin,seguity01,John Gibson,gibsojo02,3,6.78
202310210ARI,10/21/2023,ARI,vs,ANA,W,Jason Zucker,zuckeja01,Juuso Välimäki,valimju01,Matias Maccelli,maccema01,Lukáš Dostál,dostalu01,1,17.68
202310210ARI,10/21/2023,ARI,vs,ANA,W,Clayton Keller,kellecl01,Nick Schmaltz,schmani01,Sean Durzi,durzise01,Lukáš Dostál,dostalu01,2,14.02
202310220ANA,10/22/2023,BOS,@,ANA,W,Matthew Poitras,poitrma01,Morgan Geekie,geekimo01,Ian Mitchell,mitchia01,John Gibson,gibsojo02,3,6.48
202310220ANA,10/22/2023,BOS,@,ANA,W,Matthew Poitras,poitrma01,Jake DeBrusk,debruja01,Charlie McAvoy,mcavoch01,John Gibson,gibsojo02,3,10.33
202310220ANA,10/22/2023,BOS,@,ANA,W,Brad Marchand,marchbr03,Charlie Coyle,coylech01,--,--,EN,--,3,17.43
202310240CBJ,10/24/2023,CBJ,vs,ANA,L,Emil Bemström,bemstem01,Ivan Provorov,provoiv01,Adam Fantilli,fantiad01,Lukáš Dostál,dostalu01,1,16.82
