GameID,Team,Goalie,PlayerID,DEC,GA,SA,SV,SV%,SO,PIM,TOI
202310150ANA,CAR,Antti Raanta,raantan01,L,4,23,19,82.60%,0,0,59.35
202310150ANA,CAR,Empty Net,,--,2,2,0,0.00%,0,0,0
202310150ANA,ANA,Lukáš Dostál,dostalu01,W,3,35,32,91.40%,0,0,59.65
202310190ANA,DAL,Jake Oettinger,oettija01,W,2,29,27,93.10%,0,0,60
202310190ANA,ANA,John Gibson,gibsojo02,L,3,24,21,87.50%,0,0,57.78
202310220ANA,BOS,Linus Ullmark,ullmali01,W,1,31,30,96.80%,0,0,60
202310220ANA,ANA,John Gibson,gibsojo02,L,2,25,23,92.00%,0,0,58.58
202310220ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202311010ANA,ARI,Karel Vejmelka,vejmeka01,O,4,29,25,86.20%,0,0,62.8
202311010ANA,ANA,Lukáš Dostál,dostalu01,W,3,35,32,91.40%,0,0,63.45
202311050ANA,VEG,Logan Thompson,thomplo01,L,3,22,19,86.40%,0,0,59.48
202311050ANA,VEG,Empty Net,,--,1,1,0,0.00%,0,0,0
202311050ANA,ANA,John Gibson,gibsojo02,W,2,32,30,93.80%,0,0,60
202311070ANA,PIT,Tristan Jarry,jarrytr01,W,0,20,20,100.00%,0,0,38.25
202311070ANA,PIT,Magnus Hellberg,hellbma01,--,0,11,11,100.00%,0,0,21.6
202311070ANA,ANA,John Gibson,gibsojo02,L,1,35,34,97.10%,0,0,58.82
202311070ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202311100ANA,PHI,Samuel Ersson,erssosa01,W,3,38,35,92.10%,0,0,60
202311100ANA,ANA,Lukáš Dostál,dostalu01,L,5,35,30,85.70%,0,2,57.5
202311100ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202311120ANA,SJS,Mackenzie Blackwood,blackma01,L,4,44,40,90.90%,0,0,60
202311120ANA,ANA,John Gibson,gibsojo02,W,1,26,25,96.20%,0,0,59.83
202311170ANA,FLA,Anthony Stolarz,stolaan01,W,1,35,34,97.10%,0,0,59.83
202311170ANA,ANA,John Gibson,gibsojo02,L,2,35,33,94.30%,0,0,57.85
202311190ANA,STL,Joel Hofer,hoferjo01,W,1,31,30,96.80%,0,0,59.43
202311190ANA,ANA,John Gibson,gibsojo02,L,3,32,29,90.60%,0,0,57.55
202311220ANA,MTL,Sam Montembeault,montesa01,W,3,33,30,90.90%,0,0,59.15
202311220ANA,ANA,John Gibson,gibsojo02,L,4,28,24,85.70%,0,0,58.42
202311240ANA,LAK,Cam Talbot,talboca01,W,2,31,29,93.50%,0,0,60
202311240ANA,ANA,John Gibson,gibsojo02,L,5,31,26,83.90%,0,0,59.52
202311300ANA,WSH,Darcy Kuemper,kuempda01,W,4,32,28,87.50%,0,0,60
202311300ANA,ANA,John Gibson,gibsojo02,L,5,26,21,80.80%,0,0,58.35
202312020ANA,COL,Ivan Prosvetov,prosviv01,O,3,37,34,91.90%,0,0,65
202312020ANA,ANA,John Gibson,gibsojo02,W,3,37,34,91.90%,0,0,64.68
202312100ANA,WPG,Connor Hellebuyck,helleco01,W,2,26,24,92.30%,0,0,59.43
202312100ANA,ANA,John Gibson,gibsojo02,L,3,30,27,90.00%,0,0,59.58
202312100ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202312210ANA,CGY,Jacob Markström,marksja02,W,0,25,25,100.00%,1,0,60
202312210ANA,ANA,Lukáš Dostál,dostalu01,L,2,43,41,95.30%,0,0,59.3
202312210ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202312230ANA,SEA,Joey Daccord,daccojo01,W,2,34,32,94.10%,0,0,60
202312230ANA,ANA,Lukáš Dostál,dostalu01,L,3,22,19,86.40%,0,0,59.65
202312270ANA,VEG,Logan Thompson,thomplo01,L,5,26,21,80.80%,0,0,56.95
202312270ANA,ANA,John Gibson,gibsojo02,W,2,32,30,93.80%,0,0,60
202312290ANA,ARI,Connor Ingram,ingraco01,W,0,28,28,100.00%,1,0,59.48
202312290ANA,ANA,John Gibson,gibsojo02,L,2,32,30,93.80%,0,0,56.83
202312310ANA,EDM,Calvin Pickard,pickaca01,W,2,30,28,93.30%,0,0,60
202312310ANA,ANA,John Gibson,gibsojo02,L,7,39,32,82.10%,0,0,60
202401030ANA,TOR,Martin Jones,jonesma02,W,1,28,27,96.40%,0,0,61.5
202401030ANA,ANA,Lukáš Dostál,dostalu01,O,2,57,55,96.50%,0,0,62.2
202401050ANA,WPG,Laurent Brossoit,brossla01,W,1,38,37,97.40%,0,0,60
202401050ANA,ANA,John Gibson,gibsojo02,L,3,27,24,88.90%,0,0,56.57
202401070ANA,DET,Alex Lyon,lyonal01,W,2,31,29,93.50%,0,0,60
202401070ANA,ANA,Lukáš Dostál,dostalu01,L,3,28,25,89.30%,0,0,59.1
202401210ANA,NYR,Igor Shesterkin,shestig01,W,2,18,16,88.90%,0,0,60
202401210ANA,ANA,Lukáš Dostál,dostalu01,L,4,32,28,87.50%,0,0,58.57
202401210ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202401230ANA,BUF,Ukko-Pekka Luukkonen,luukkuk01,L,3,35,32,91.40%,0,0,57.3
202401230ANA,BUF,Empty Net,,--,1,1,0,0.00%,0,0,0
202401230ANA,ANA,John Gibson,gibsojo02,W,2,30,28,93.30%,0,0,59.97
202401310ANA,SJS,Kaapo Kähkönen,kahkoka01,O,3,34,31,91.20%,0,0,64.12
202401310ANA,ANA,John Gibson,gibsojo02,W,2,28,26,92.90%,0,0,63.45
202402090ANA,EDM,Calvin Pickard,pickaca01,W,3,27,24,88.90%,0,0,59.2
202402090ANA,ANA,John Gibson,gibsojo02,--,2,21,19,90.50%,0,0,40
202402090ANA,ANA,Lukáš Dostál,dostalu01,L,2,10,8,80.00%,0,0,19.25
202402090ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202402210ANA,CBJ,Daniil Tarasov,tarasda02,W,2,29,27,93.10%,0,0,55.87
202402210ANA,CBJ,Elvis Merzļikins,merzlel01,--,2,2,0,0.00%,0,0,3.92
202402210ANA,ANA,John Gibson,gibsojo02,L,6,26,20,76.90%,0,0,57.07
202402210ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202402250ANA,NSH,Kevin Lankinen,lankike01,W,2,31,29,93.50%,0,0,59.9
202402250ANA,ANA,Lukáš Dostál,dostalu01,L,3,28,25,89.30%,0,0,57.38
202402250ANA,ANA,Empty Net,,--,1,1,0,0.00%,0,0,0
202403010ANA,NJD,Nico Daws,dawsni01,L,4,14,10,71.40%,0,0,39.32
202403010ANA,NJD,Akira Schmid,schmiak01,--,0,9,9,100.00%,0,0,17.13
202403010ANA,ANA,Lukáš Dostál,dostalu01,W,3,55,52,94.50%,0,0,60
202403030ANA,VAN,Casey DeSmith,desmica01,W,1,18,17,94.40%,0,0,59.95
