GameID,Team,Time,Player,PlayerID,Penalty,PIM
202310150ANA,CAR,10.95,Michael Bunting,buntimi01,Roughing,2 min
202310150ANA,ANA,10.95,Frank Vatrano,vatrafr01,Roughing,2 min
202310150ANA,ANA,13.93,Mason McTavish,mctavma01,Interference,2 min
202310150ANA,CAR,17.25,Jordan Martinook,martijo01,Tripping,2 min
202310150ANA,ANA,19.07,Troy Terry,terrytr01,High Sticking,4 min
202310150ANA,CAR,23.9,Sebastian Aho,ahose01,Tripping,2 min
202310150ANA,ANA,29.62,Ilya Lyubushkin,lyubuil01,Interference,2 min
202310150ANA,ANA,40,Radko Gudas,gudasra01,Roughing,2 min
202310150ANA,ANA,40,Radko Gudas,gudasra01,Roughing,2 min
202310150ANA,ANA,40,Radko Gudas,gudasra01,Misconduct,10 min
202310150ANA,CAR,40,Brendan Lemieux,lemiebr01,Roughing,2 min
202310150ANA,CAR,40,Brendan Lemieux,lemiebr01,Misconduct,10 min
202310150ANA,CAR,40,Stefan Noesen,noesest01,Roughing,2 min
202310150ANA,ANA,41.12,Ryan Strome,stromry01,Hooking,2 min
202310150ANA,ANA,54.88,Trevor Zegras,zegratr01,Holding Stick,2 min
202310190ANA,ANA,5.48,Mason McTavish,mctavma01,Tripping,2 min
202310190ANA,DAL,8.83,Ryan Suter,suterry01,Cross Checking,2 min
202310190ANA,ANA,13.72,Mason McTavish,mctavma01,Holding,2 min
202310190ANA,DAL,17.03,Mason Marchment,marchma01,Hooking,2 min
202310190ANA,DAL,20.5,Jani Hakanpää,hakanja01,Interference,2 min
202310190ANA,ANA,29.77,Bench,,Too Many Men on the Ice,2 min
202310190ANA,DAL,33.45,Ryan Suter,suterry01,Tripping,2 min
202310190ANA,ANA,33.78,Trevor Zegras,zegratr01,Hooking,2 min
202310190ANA,ANA,37.85,Jakob Silfverberg,silfvja01,Tripping,2 min
202310220ANA,BOS,0.48,Brad Marchand,marchbr03,Cross Checking,2 min
202310220ANA,ANA,2.32,Brett Leason,leasobr01,Tripping,2 min
202310220ANA,ANA,12.33,Radko Gudas,gudasra01,High Sticking,2 min
202310220ANA,ANA,18.82,Radko Gudas,gudasra01,Interference,2 min
202310220ANA,BOS,23.68,Ian Mitchell,mitchia01,Delay of Game,2 min
