GameID,Team,Player,PlayerID,G,A,PTS,SOG,HIT,BLK,TOI,PIM,SAT-F,SAT-A,CF%,CRel%
202310100PIT,CHI,Alex Vlasic,vlasial01,0,1,1,2,0,1,20.53,0,18,28,39.10%,-17.00%
202310100PIT,CHI,Andreas Athanasiou,athanan01,0,1,1,1,0,0,10.17,0,12,9,57.10%,7.50%
202310100PIT,CHI,Boris Katchouk,katchbo01,0,0,0,2,0,0,12.08,0,13,11,54.20%,4.20%
202310100PIT,CHI,Cole Guttman,guttmco01,1,0,1,2,0,0,9.25,0,10,12,45.50%,-6.10%
202310100PIT,CHI,Connor Bedard,bedarco01,0,1,1,5,0,1,21.48,0,34,15,69.40%,28.30%
202310100PIT,CHI,Connor Murphy,murphco02,0,0,0,0,1,0,17.97,0,14,27,34.10%,-23.20%
202310100PIT,CHI,Corey Perry,perryco01,0,2,2,2,1,0,16.8,0,26,19,57.80%,10.30%
202310100PIT,CHI,Jarred Tinordi,tinorja01,0,0,0,0,3,1,13.97,0,18,19,48.60%,-2.80%
202310100PIT,CHI,Jason Dickinson,dickija01,1,1,2,3,2,3,12.9,0,12,23,34.30%,-21.70%
202310100PIT,CHI,Kevin Korchinski,korchke01,0,0,0,1,0,2,19.32,0,23,20,53.50%,4.00%
202310100PIT,CHI,Lukas Reichel,reichlu01,0,0,0,2,0,0,14.75,0,17,19,47.20%,-4.70%
202310100PIT,CHI,Nick Foligno,foligni01,1,1,2,2,1,2,14.87,0,15,22,40.50%,-13.70%
202310100PIT,CHI,Ryan Donato,donatry01,1,0,1,4,1,0,18.37,0,29,14,67.40%,23.80%
202310100PIT,CHI,Seth Jones,jonesse01,0,1,1,2,0,2,25.47,0,36,24,60.00%,16.00%
202310100PIT,CHI,Taylor Hall,hallta02,0,0,0,2,1,0,20.73,0,31,17,64.60%,20.80%
202310100PIT,CHI,Taylor Raddysh,raddyta01,0,0,0,1,2,2,15.87,0,19,21,47.50%,-4.40%
202310100PIT,CHI,Tyler Johnson,johnsty01,0,0,0,3,0,1,16.38,0,17,25,40.50%,-14.40%
202310100PIT,CHI,Wyatt Kaiser,kaisewy01,0,0,0,2,1,1,15.1,2,20,23,46.50%,-6.00%
202310100PIT,PIT,Bryan Rust,rustbr01,1,0,1,5,0,0,18.9,0,22,23,48.90%,-0.60%
202310100PIT,PIT,Chad Ruhwedel,ruhwech01,0,0,0,0,2,0,11.53,0,7,10,41.20%,-9.20%
202310100PIT,PIT,Drew O'Connor,oconndr01,0,0,0,2,0,0,13.03,0,12,14,46.20%,-3.80%
202310100PIT,PIT,Erik Karlsson,karlser01,0,0,0,2,2,3,26.07,0,40,36,52.60%,7.00%
202310100PIT,PIT,Evgeni Malkin,malkiev01,0,0,0,6,0,1,19.65,0,31,16,66.00%,24.80%
202310100PIT,PIT,Jake Guentzel,guentja01,0,1,1,4,2,1,19.35,0,27,25,51.90%,4.10%
202310100PIT,PIT,Jansen Harkins,harkija01,0,0,0,2,2,0,10.52,0,14,12,53.80%,5.50%
202310100PIT,PIT,Jeff Carter,carteje01,0,0,0,1,0,0,10.23,2,15,11,57.70%,10.20%
202310100PIT,PIT,Kris Letang,letankr01,0,1,1,4,0,1,24.53,2,28,29,49.10%,-0.30%
202310100PIT,PIT,Lars Eller,ellerla01,0,1,1,1,0,2,13.12,2,14,14,50.00%,0.90%
202310100PIT,PIT,Marcus Pettersson,pettema01,0,1,1,2,1,0,21.67,0,25,33,43.10%,-10.40%
202310100PIT,PIT,Matthew Nieto,nietoma01,0,0,0,0,0,1,11.13,2,11,19,36.70%,-15.90%
202310100PIT,PIT,Noel Acciari,acciano01,0,0,0,2,7,2,10.5,0,8,21,27.60%,-27.20%
202310100PIT,PIT,Pierre-Olivier Joseph,joseppi01,0,0,0,0,0,1,11.5,0,20,10,66.70%,22.00%
202310100PIT,PIT,Reilly Smith,smithre01,0,0,0,4,1,1,16.95,0,24,13,64.90%,21.00%
202310100PIT,PIT,Rickard Rakell,rakelri01,0,0,0,2,4,1,16.95,0,25,13,65.80%,22.40%
202310100PIT,PIT,Ryan Graves,gravery01,0,0,0,0,2,4,20.4,0,13,27,32.50%,-23.30%
202310100PIT,PIT,Sidney Crosby,crosbsi01,1,0,1,4,0,1,18.47,0,26,25,51.00%,2.60%
202310100TBL,NSH,Alexandre Carrier,carrial01,0,0,0,0,0,2,20.65,0,20,23,46.50%,-7.70%
202310100TBL,NSH,Cody Glass,glassco01,0,0,0,2,2,0,15.48,0,24,13,64.90%,18.80%
202310100TBL,NSH,Cole Smith,smithco02,0,0,0,1,2,0,12.87,0,10,20,33.30%,-24.00%
202310100TBL,NSH,Colton Sissons,sissoco01,0,0,0,3,3,1,14.75,2,14,22,38.90%,-17.80%
202310100TBL,NSH,Filip Forsberg,forsbfi01,0,2,2,6,1,0,20.85,0,39,16,70.90%,34.30%
202310100TBL,NSH,Gustav Nyquist,nyquigu01,0,1,1,2,1,0,14.88,0,14,18,43.80%,-10.50%
202310100TBL,NSH,Jeremy Lauzon,lauzoje01,0,0,0,1,3,0,13.35,2,14,8,63.60%,14.60%
202310100TBL,NSH,Juuso Pärssinen,parssju01,1,0,1,2,0,0,13.72,0,13,16,44.80%,-8.80%
202310100TBL,NSH,Kiefer Sherwood,sherwki01,0,0,0,1,2,0,7.9,0,8,6,57.10%,6.20%
202310100TBL,NSH,Luke Evangelista,evanglu01,0,0,0,0,0,0,12.02,0,7,8,46.70%,-5.60%
202310100TBL,NSH,Luke Schenn,schenlu01,0,0,0,0,5,1,15.18,0,11,18,37.90%,-17.80%
202310100TBL,NSH,Philip Tomasino,tomasph01,0,1,1,0,0,1,13.5,2,7,9,43.80%,-8.90%
202310100TBL,NSH,Roman Josi,josiro01,0,0,0,2,0,1,25.62,4,33,24,57.90%,11.50%
202310100TBL,NSH,Ryan McDonagh,mcdonry01,0,1,1,2,0,2,20.8,0,19,28,40.40%,-17.80%
202310100TBL,NSH,Ryan O'Reilly,oreilry01,1,1,2,4,0,2,21.98,0,34,20,63.00%,19.90%
202310100TBL,NSH,Thomas Novak,novakth01,1,0,1,3,0,0,15.72,0,24,10,70.60%,26.00%
202310100TBL,NSH,Tyson Barrie,barrity01,0,0,0,1,0,0,21.3,0,30,18,62.50%,17.60%
202310100TBL,NSH,Yakov Trenin,treniya01,0,0,0,1,4,0,13.9,0,13,10,56.50%,6.00%
202310100TBL,TBL,Anthony Cirelli,cirelan01,0,0,0,1,0,0,16.7,0,14,20,41.20%,-9.90%
202310100TBL,TBL,Brandon Hagel,hagelbr01,1,0,1,4,0,1,18.12,0,16,21,43.20%,-7.40%
202310100TBL,TBL,Brayden Point,pointbr01,0,3,3,3,0,1,22.22,0,32,27,54.20%,10.90%
202310100TBL,TBL,Calvin de Haan,dehaaca01,0,0,0,0,2,1,13.68,0,14,15,48.30%,-0.20%
202310100TBL,TBL,Conor Sheary,shearco01,0,0,0,0,0,3,12.07,0,13,7,65.00%,19.70%
202310100TBL,TBL,Darren Raddysh,raddyda01,0,0,0,3,1,1,18.07,0,21,19,52.50%,6.00%
202310100TBL,TBL,Erik Černák,cernaer01,0,0,0,2,7,1,19.33,0,15,22,40.50%,-11.20%
202310100TBL,TBL,Luke Glendening,glendlu01,0,0,0,1,1,2,14.02,0,7,17,29.20%,-23.70%
202310100TBL,TBL,Michael Eyssimont,eyssimi01,0,0,0,2,0,0,8.52,0,7,6,53.80%,6.00%
202310100TBL,TBL,Mikhail Sergachev,sergami01,0,1,1,2,0,2,23,2,24,23,51.10%,4.30%
202310100TBL,TBL,Nick Paul,paulni01,2,1,3,3,2,1,16.2,0,24,10,70.60%,30.40%
202310100TBL,TBL,Nicklaus Perbix,perbini01,0,0,0,1,0,1,11.7,2,8,14,36.40%,-14.60%
202310100TBL,TBL,Nikita Kucherov,kucheni01,2,0,2,5,2,0,21.32,2,32,24,57.10%,15.70%
202310100TBL,TBL,Steven Stamkos,stamkst01,0,1,1,2,2,0,20.38,2,27,24,52.90%,7.60%
202310100TBL,TBL,Tanner Jeannot,jeannta01,0,0,0,1,2,0,11.8,0,9,6,60.00%,13.20%
202310100TBL,TBL,Tyler Motte,mottety01,0,0,0,0,2,1,7.92,0,6,9,40.00%,-9.50%
202310100TBL,TBL,Victor Hedman,hedmavi01,0,1,1,4,0,1,26.92,0,23,37,38.30%,-19.30%
202310100TBL,TBL,Waltteri Merela,merelwa01,0,0,0,0,1,1,10.35,0,8,8,50.00%,1.80%
202310100VEG,SEA,Adam Larsson,larssad01,0,0,0,2,1,1,19.73,2,25,19,56.80%,4.50%
202310100VEG,SEA,Alexander Wennberg,wennbal01,0,0,0,2,1,1,18.65,2,17,18,48.60%,-7.10%
202310100VEG,SEA,André Burakovsky,burakan01,0,0,0,2,0,1,16.45,0,22,9,71.00%,22.50%
202310100VEG,SEA,Brandon Tanev,tanevbr01,0,0,0,1,1,2,10.12,0,7,20,25.90%,-35.10%
202310100VEG,SEA,Brian Dumoulin,dumoubr01,0,0,0,0,1,1,15.32,0,13,17,43.30%,-13.60%
202310100VEG,SEA,Eeli Tolvanen,tolvaee01,0,0,0,1,2,0,16.82,0,22,17,56.40%,3.70%
202310100VEG,SEA,Jaden Schwartz,schwaja01,0,0,0,1,0,0,17.88,2,24,10,70.60%,22.60%
202310100VEG,SEA,Jamie Oleksiak,oleksja01,0,0,0,1,5,6,18.55,0,14,30,31.80%,-33.00%
202310100VEG,SEA,Jared McCann,mccanja01,1,0,1,5,0,0,16.4,2,27,14,65.90%,17.50%
202310100VEG,SEA,Jordan Eberle,eberljo01,0,1,1,3,2,0,14.97,0,23,10,69.70%,21.20%
202310100VEG,SEA,Justin Schultz,schulju01,0,0,0,1,0,1,16.37,0,19,18,51.40%,-3.30%
202310100VEG,SEA,Kailer Yamamoto,yamamka01,0,0,0,1,1,0,14.53,0,20,10,66.70%,16.70%
202310100VEG,SEA,Matthew Beniers,beniema01,0,0,0,2,0,0,16.32,0,26,11,70.30%,22.90%
202310100VEG,SEA,Oliver Bjorkstrand,bjorkol01,0,0,0,4,1,0,17.37,0,24,16,60.00%,8.90%
202310100VEG,SEA,Pierre-Édouard Bellemare,bellepi01,0,0,0,0,0,3,7.5,0,4,11,26.70%,-30.60%
202310100VEG,SEA,Vince Dunn,dunnvi02,0,0,0,2,0,1,22.3,0,36,14,72.00%,29.30%
202310100VEG,SEA,William Borgen,borgewi01,0,0,0,2,4,0,16.78,0,14,22,38.90%,-20.50%
202310100VEG,SEA,Yanni Gourde,gourdya01,0,0,0,3,2,1,16.33,0,18,26,40.90%,-19.30%
202310100VEG,VEG,Alex Pietrangelo,pietral01,0,0,0,3,0,2,26,0,24,30,44.40%,-3.00%
202310100VEG,VEG,Ben Hutton,huttobe01,0,0,0,1,0,2,15.13,0,17,16,51.50%,7.10%
