GameID,Date,Away,AwayID,AwayG,Home,HomeID,HomeG,OT/SO
202310100PIT,"October 10, 2023",Chicago Blackhawks,CHI,4,Pittsburgh Penguins,PIT,2,
202310100TBL,"October 10, 2023",Nashville Predators,NSH,3,Tampa Bay Lightning,TBL,5,
202310100VEG,"October 10, 2023",Seattle Kraken,SEA,1,Vegas Golden Knights,VEG,4,
202310110BOS,"October 11, 2023",Chicago Blackhawks,CHI,1,Boston Bruins,BOS,3,
202310110CAR,"October 11, 2023",Ottawa Senators,OTT,3,Carolina Hurricanes,CAR,5,
202310110CGY,"October 11, 2023",Winnipeg Jets,WPG,3,Calgary Flames,CGY,5,
202310110LAK,"October 11, 2023",Colorado Avalanche,COL,5,Los Angeles Kings,LAK,2,
202310110TOR,"October 11, 2023",Montreal Canadiens,MTL,5,Toronto Maple Leafs,TOR,5,SO
202310110VAN,"October 11, 2023",Edmonton Oilers,EDM,1,Vancouver Canucks,VAN,8,
202310120BUF,"October 12, 2023",New York Rangers,NYR,5,Buffalo Sabres,BUF,1,
202310120CBJ,"October 12, 2023",Philadelphia Flyers,PHI,4,Columbus Blue Jackets,CBJ,2,
202310120DAL,"October 12, 2023",St. Louis Blues,STL,1,Dallas Stars,DAL,1,SO
202310120MIN,"October 12, 2023",Florida Panthers,FLA,0,Minnesota Wild,MIN,2,
202310120NJD,"October 12, 2023",Detroit Red Wings,DET,3,New Jersey Devils,NJD,4,
202310120NSH,"October 12, 2023",Seattle Kraken,SEA,0,Nashville Predators,NSH,3,
202310120SJS,"October 12, 2023",Vegas Golden Knights,VEG,4,San Jose Sharks,SJS,1,
202310130NJD,"October 13, 2023",Arizona Coyotes,ARI,3,New Jersey Devils,NJD,3,SO
202310130WSH,"October 13, 2023",Pittsburgh Penguins,PIT,4,Washington Capitals,WSH,0,
202310140BOS,"October 14, 2023",Nashville Predators,NSH,2,Boston Bruins,BOS,3,
202310140CBJ,"October 14, 2023",New York Rangers,NYR,3,Columbus Blue Jackets,CBJ,5,
202310140DET,"October 14, 2023",Tampa Bay Lightning,TBL,4,Detroit Red Wings,DET,6,
202310140EDM,"October 14, 2023",Vancouver Canucks,VAN,4,Edmonton Oilers,EDM,3,
202310140LAK,"October 14, 2023",Carolina Hurricanes,CAR,5,Los Angeles Kings,LAK,5,SO
202310140MTL,"October 14, 2023",Chicago Blackhawks,CHI,2,Montreal Canadiens,MTL,3,
202310140NYI,"October 14, 2023",Buffalo Sabres,BUF,2,New York Islanders,NYI,3,
202310140OTT,"October 14, 2023",Philadelphia Flyers,PHI,2,Ottawa Senators,OTT,5,
202310140PIT,"October 14, 2023",Calgary Flames,CGY,2,Pittsburgh Penguins,PIT,5,
202310140SJS,"October 14, 2023",Colorado Avalanche,COL,1,San Jose Sharks,SJS,1,SO
202310140STL,"October 14, 2023",Seattle Kraken,SEA,1,St. Louis Blues,STL,1,SO
202310140TOR,"October 14, 2023",Minnesota Wild,MIN,4,Toronto Maple Leafs,TOR,7,
202310140VEG,"October 14, 2023",Anaheim Ducks,ANA,1,Vegas Golden Knights,VEG,4,
202310140WPG,"October 14, 2023",Florida Panthers,FLA,4,Winnipeg Jets,WPG,6,
202310150ANA,"October 15, 2023",Carolina Hurricanes,CAR,3,Anaheim Ducks,ANA,6,
202310150OTT,"October 15, 2023",Tampa Bay Lightning,TBL,2,Ottawa Senators,OTT,5,
202310160CBJ,"October 16, 2023",Detroit Red Wings,DET,4,Columbus Blue Jackets,CBJ,0,
202310160NJD,"October 16, 2023",Florida Panthers,FLA,4,New Jersey Devils,NJD,3,
202310160NYR,"October 16, 2023",Arizona Coyotes,ARI,1,New York Rangers,NYR,2,
202310160TOR,"October 16, 2023",Chicago Blackhawks,CHI,4,Toronto Maple Leafs,TOR,1,
202310160WSH,"October 16, 2023",Calgary Flames,CGY,2,Washington Capitals,WSH,2,SO
202310170BUF,"October 17, 2023",Tampa Bay Lightning,TBL,2,Buffalo Sabres,BUF,3,OT
202310170MTL,"October 17, 2023",Minnesota Wild,MIN,5,Montreal Canadiens,MTL,2,
202310170NSH,"October 17, 2023",Edmonton Oilers,EDM,6,Nashville Predators,NSH,1,
202310170NYI,"October 17, 2023",Arizona Coyotes,ARI,0,New York Islanders,NYI,1,
202310170PHI,"October 17, 2023",Vancouver Canucks,VAN,0,Philadelphia Flyers,PHI,2,
202310170SEA,"October 17, 2023",Colorado Avalanche,COL,4,Seattle Kraken,SEA,1,
202310170SJS,"October 17, 2023",Carolina Hurricanes,CAR,6,San Jose Sharks,SJS,3,
202310170VEG,"October 17, 2023",Dallas Stars,DAL,2,Vegas Golden Knights,VEG,2,SO
202310170WPG,"October 17, 2023",Los Angeles Kings,LAK,5,Winnipeg Jets,WPG,1,
202310180DET,"October 18, 2023",Pittsburgh Penguins,PIT,3,Detroit Red Wings,DET,6,
202310180OTT,"October 18, 2023",Washington Capitals,WSH,1,Ottawa Senators,OTT,6,
202310190ANA,"October 19, 2023",Dallas Stars,DAL,3,Anaheim Ducks,ANA,2,
202310190BUF,"October 19, 2023",Calgary Flames,CGY,4,Buffalo Sabres,BUF,3,
202310190COL,"October 19, 2023",Chicago Blackhawks,CHI,0,Colorado Avalanche,COL,4,
202310190FLA,"October 19, 2023",Toronto Maple Leafs,TOR,1,Florida Panthers,FLA,3,
202310190MIN,"October 19, 2023",Los Angeles Kings,LAK,7,Minnesota Wild,MIN,3,
202310190NYR,"October 19, 2023",Nashville Predators,NSH,4,New York Rangers,NYR,1,
202310190PHI,"October 19, 2023",Edmonton Oilers,EDM,1,Philadelphia Flyers,PHI,4,
202310190SEA,"October 19, 2023",Carolina Hurricanes,CAR,4,Seattle Kraken,SEA,7,
202310190SJS,"October 19, 2023",Boston Bruins,BOS,3,San Jose Sharks,SJS,1,
202310190STL,"October 19, 2023",Arizona Coyotes,ARI,6,St. Louis Blues,STL,2,
202310190TBL,"October 19, 2023",Vancouver Canucks,VAN,3,Tampa Bay Lightning,TBL,4,
202310190WPG,"October 19, 2023",Vegas Golden Knights,VEG,5,Winnipeg Jets,WPG,3,
202310200CBJ,"October 20, 2023",Calgary Flames,CGY,1,Columbus Blue Jackets,CBJ,3,
202310200NYI,"October 20, 2023",New Jersey Devils,NJD,5,New York Islanders,NYI,4,OT
202310210ARI,"October 21, 2023",Anaheim Ducks,ANA,1,Arizona Coyotes,ARI,2,
202310210BUF,"October 21, 2023",New York Islanders,NYI,1,Buffalo Sabres,BUF,3,
202310210CHI,"October 21, 2023",Vegas Golden Knights,VEG,5,Chicago Blackhawks,CHI,3,
202310210COL,"October 21, 2023",Carolina Hurricanes,CAR,4,Colorado Avalanche,COL,6,
202310210DAL,"October 21, 2023",Philadelphia Flyers,PHI,4,Dallas Stars,DAL,5,OT
