GameID,Date,Player,PlayerID,Team,Location,Opp,Result,OT/SO,GA,SA,SV,SV%,PIM,TOI
202310110TOR,10/11/2023,Jake Allen,allenja01,MTL,@,TOR,L,SO,5,42,37,88.10%,0,65
202310210MTL,10/21/2023,Jake Allen,allenja01,MTL,vs,WSH,W,OT,2,33,31,93.90%,0,60.78
202310230BUF,10/23/2023,Jake Allen,allenja01,MTL,@,BUF,W,,1,37,36,97.30%,0,60
202310280MTL,10/28/2023,Jake Allen,allenja01,MTL,vs,WPG,W,SO,3,45,42,93.30%,0,65
202311020ARI,11/2/2023,Jake Allen,allenja01,MTL,@,ARI,L,,3,35,32,91.40%,0,57.75
202311070MTL,11/7/2023,Jake Allen,allenja01,MTL,vs,TBL,L,,4,9,5,55.60%,0,13.83
202311120MTL,11/12/2023,Jake Allen,allenja01,MTL,vs,VAN,L,,3,35,32,91.40%,0,58.88
202311180BOS,11/18/2023,Jake Allen,allenja01,MTL,@,BOS,L,,5,44,39,88.60%,0,60
202311250LAK,11/25/2023,Jake Allen,allenja01,MTL,@,LAK,L,,4,30,26,86.70%,0,60
202312020MTL,12/2/2023,Jake Allen,allenja01,MTL,vs,DET,L,OT,5,33,28,84.80%,2,60.82
202312100MTL,12/10/2023,Jake Allen,allenja01,MTL,vs,NSH,L,,2,32,30,93.80%,0,58.53
202312180WPG,12/18/2023,Jake Allen,allenja01,MTL,@,WPG,W,OT,2,32,30,93.80%,0,61.15
202312300FLA,12/30/2023,Jake Allen,allenja01,MTL,@,FLA,L,,3,25,22,88.00%,0,58.93
202401040MTL,1/4/2024,Jake Allen,allenja01,MTL,vs,BUF,L,,5,37,32,86.50%,0,59.43
202401150MTL,1/15/2024,Jake Allen,allenja01,MTL,vs,COL,W,,3,35,32,91.40%,0,60
202401230MTL,1/23/2024,Jake Allen,allenja01,MTL,vs,OTT,L,,3,27,24,88.90%,0,58.47
202401270PIT,1/27/2024,Jake Allen,allenja01,MTL,@,PIT,L,OT,3,33,30,90.90%,0,62
202402110MTL,2/11/2024,Jake Allen,allenja01,MTL,vs,STL,L,,7,36,29,80.60%,0,60
202402170MTL,2/17/2024,Jake Allen,allenja01,MTL,vs,WSH,L,,4,34,30,88.20%,0,57.67
202402240NJD,2/24/2024,Jake Allen,allenja01,MTL,@,NJD,L,,4,24,20,83.30%,0,57.8
202403050NSH,3/5/2024,Jake Allen,allenja01,MTL,@,NSH,W,OT,3,28,25,89.30%,0,60.28
202403140DAL,3/14/2024,Jake Allen,allenja01,NJD,@,DAL,W,,2,37,35,94.60%,0,60
202403170VEG,3/17/2024,Jake Allen,allenja01,NJD,@,VEG,L,,2,36,34,94.40%,0,58.68
202403190NJD,3/19/2024,Jake Allen,allenja01,NJD,vs,PIT,W,,2,38,36,94.70%,0,60
202403210NJD,3/21/2024,Jake Allen,allenja01,NJD,vs,WPG,W,,1,19,18,94.70%,0,60
202403230NJD,3/23/2024,Jake Allen,allenja01,NJD,vs,OTT,L,,5,25,20,80.00%,0,60
202403260TOR,3/26/2024,Jake Allen,allenja01,TOR,vs,NJD,L,,3,45,42,93.30%,0,60
202403290BUF,3/29/2024,Jake Allen,allenja01,NJD,@,BUF,L,,3,34,31,91.20%,0,58.38
202404020NJD,4/2/2024,Jake Allen,allenja01,NJD,vs,PIT,L,,5,20,15,75.00%,0,59.25
202404060OTT,4/6/2024,Jake Allen,allenja01,NJD,@,OTT,W,,3,28,25,89.30%,0,60
202404070NJD,4/7/2024,Jake Allen,allenja01,NJD,vs,NSH,L,SO,1,30,29,96.70%,0,56.35
202404090NJD,4/9/2024,Jake Allen,allenja01,NJD,vs,TOR,L,,4,38,34,89.50%,0,57.88
202404110TOR,4/11/2024,Jake Allen,allenja01,NJD,@,TOR,W,,5,32,27,84.40%,0,60
202404150NJD,4/15/2024,Jake Allen,allenja01,NJD,vs,NYI,L,,4,19,15,78.90%,0,60
