Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
1,202310140VEG,10/14/2023,ANA,@,VEG,1,4,L,,23,22,38,17,41,53,43.6,31,37,45.6,23,18
2,202310150ANA,10/15/2023,ANA,vs,CAR,6,3,W,,25,28,35,20,44,67,39.6,36,44,45,21,24
3,202310190ANA,10/19/2023,ANA,vs,DAL,2,3,L,,29,10,24,8,52,45,53.6,33,36,47.8,14,26
4,202310210ARI,10/21/2023,ANA,@,ARI,1,2,L,,33,19,27,15,44,43,50.6,33,28,54.1,12,18
5,202310220ANA,10/22/2023,ANA,vs,BOS,1,3,L,,31,12,26,8,50,33,60.2,41,26,61.2,17,20
6,202310240CBJ,10/24/2023,ANA,@,CBJ,3,2,W,OT,27,14,37,8,40,49,44.9,27,37,42.2,23,13
7,202310260BOS,10/26/2023,ANA,@,BOS,4,3,W,OT,32,8,30,12,46,43,51.7,36,33,52.2,18,23
8,202310280PHI,10/28/2023,ANA,@,PHI,7,4,W,,25,13,30,9,36,55,39.6,26,38,40.6,18,34
9,202310300PIT,10/30/2023,ANA,@,PIT,4,3,W,,27,14,42,6,42,57,42.4,30,43,41.1,10,29
10,202311010ANA,11/01/2023,ANA,vs,ARI,4,3,W,OT,29,15,35,25,32,55,36.8,26,41,38.8,17,27
11,202311050ANA,11/05/2023,ANA,vs,VEG,4,2,W,,23,10,32,6,48,50,49,34,39,46.6,22,18
12,202311070ANA,11/07/2023,ANA,vs,PIT,0,2,L,,31,4,36,6,42,53,44.2,30,40,42.9,26,31
13,202311100ANA,11/10/2023,ANA,vs,PHI,3,6,L,,38,6,36,12,48,45,51.6,33,37,47.1,23,21
14,202311120ANA,11/12/2023,ANA,vs,SJS,4,1,W,,44,18,26,24,52,39,57.1,40,32,55.6,24,21
15,202311140NSH,11/14/2023,ANA,@,NSH,3,2,W,,20,30,30,16,34,44,43.6,26,28,48.1,23,17
16,202311150COL,11/15/2023,ANA,@,COL,2,8,L,,17,10,38,8,34,41,45.3,25,35,41.7,27,24
17,202311170ANA,11/17/2023,ANA,vs,FLA,1,2,L,,35,8,35,6,54,57,48.6,42,35,54.5,21,29
18,202311190ANA,11/19/2023,ANA,vs,STL,1,3,L,,31,12,32,4,43,41,51.2,30,36,45.5,15,23
19,202311220ANA,11/22/2023,ANA,vs,MTL,3,4,L,,33,8,28,4,64,43,59.8,47,29,61.8,25,28
20,202311240ANA,11/24/2023,ANA,vs,LAK,2,5,L,,31,19,31,17,50,47,51.5,39,38,50.6,25,24
21,202311260EDM,11/26/2023,ANA,@,EDM,2,8,L,,23,12,26,6,45,31,59.2,31,22,58.5,21,21
22,202311280VAN,11/28/2023,ANA,@,VAN,1,3,L,,31,10,27,8,37,46,44.6,31,36,46.3,13,20
23,202311300ANA,11/30/2023,ANA,vs,WSH,4,5,L,,32,16,26,14,51,29,63.8,38,20,65.5,26,22
24,202312020ANA,12/02/2023,ANA,vs,COL,4,3,W,SO,37,6,37,6,55,57,49.1,41,42,49.4,33,23
25,202312050COL,12/05/2023,ANA,@,COL,2,3,L,,33,6,30,6,48,49,49.5,31,38,44.9,18,22
26,202312070CHI,12/07/2023,ANA,@,CHI,0,1,L,,37,8,25,6,58,34,63,39,27,59.1,21,19
27,202312100ANA,12/10/2023,ANA,vs,WPG,2,4,L,,26,28,31,9,41,44,48.2,30,33,47.6,19,22
28,202312130NYI,12/13/2023,ANA,@,NYI,3,4,L,,24,8,35,4,39,54,41.9,28,42,40,27,29
29,202312150NYR,12/15/2023,ANA,@,NYR,1,5,L,,30,32,39,6,49,50,49.5,42,36,53.8,22,24
30,202312170NJD,12/17/2023,ANA,@,NJD,5,1,W,,28,29,29,19,39,44,47,30,31,49.2,20,17
31,202312180DET,12/18/2023,ANA,@,DET,4,3,W,,22,18,32,10,40,49,44.9,32,34,48.5,18,26
32,202312210ANA,12/21/2023,ANA,vs,CGY,0,3,L,,25,19,44,13,44,37,54.3,27,28,49.1,22,18
33,202312230ANA,12/23/2023,ANA,vs,SEA,2,3,L,,34,2,22,6,46,52,46.9,35,34,50.7,30,19
34,202312270ANA,12/27/2023,ANA,vs,VEG,5,2,W,,26,10,32,2,42,58,42,34,34,50,16,19
35,202312290ANA,12/29/2023,ANA,vs,ARI,0,2,L,,28,10,32,10,46,57,44.7,34,41,45.3,31,19
36,202312310ANA,12/31/2023,ANA,vs,EDM,2,7,L,,30,31,39,41,44,55,44.4,33,42,44,17,17
37,202401030ANA,01/03/2024,ANA,vs,TOR,1,2,L,OT,28,29,57,24,34,71,32.4,24,53,31.2,18,31
38,202401050ANA,01/05/2024,ANA,vs,WPG,1,3,L,,38,4,27,6,68,56,54.8,51,38,57.3,30,21
39,202401070ANA,01/07/2024,ANA,vs,DET,2,3,L,,31,10,28,8,41,32,56.2,30,22,57.7,18,16
40,202401090NSH,01/09/2024,ANA,@,NSH,5,3,W,,33,11,42,11,44,59,42.7,31,45,40.8,30,30
41,202401110CAR,01/11/2024,ANA,@,CAR,3,6,L,,16,13,34,17,30,44,40.5,23,34,40.4,24,22
42,202401130TBL,01/13/2024,ANA,@,TBL,1,5,L,,20,10,41,20,38,57,40,25,48,34.2,21,21
43,202401150FLA,01/15/2024,ANA,@,FLA,5,4,W,OT,26,14,33,16,43,59,42.2,34,46,42.5,19,31
44,202401160WSH,01/16/2024,ANA,@,WSH,0,2,L,,24,9,28,11,54,45,54.5,35,34,50.7,23,16
45,202401200SJS,01/20/2024,ANA,@,SJS,3,5,L,,34,8,19,10,51,50,50.5,38,31,55.1,23,21
46,202401210ANA,01/21/2024,ANA,vs,NYR,2,5,L,,18,8,33,6,27,70,27.8,18,46,28.1,27,23
47,202401230ANA,01/23/2024,ANA,vs,BUF,4,2,W,,36,38,30,30,45,54,45.5,37,39,48.7,17,24
48,202401250DAL,01/25/2024,ANA,@,DAL,3,4,L,OT,21,6,44,2,39,65,37.5,33,49,40.2,18,25
49,202401270MIN,01/27/2024,ANA,@,MIN,3,2,W,,25,8,37,4,37,46,44.6,26,32,44.8,24,19
50,202401310ANA,01/31/2024,ANA,vs,SJS,3,2,W,OT,34,18,28,10,68,35,66,42,27,60.9,24,15
51,202402090ANA,02/09/2024,ANA,vs,EDM,3,5,L,,27,4,32,4,35,53,39.8,25,42,37.3,20,22
52,202402130MTL,02/13/2024,ANA,@,MTL,0,5,L,,13,29,38,33,39,46,45.9,25,34,42.4,17,16
53,202402150OTT,02/15/2024,ANA,@,OTT,5,1,W,,20,12,34,8,35,49,41.7,26,39,40,25,22
54,202402170TOR,02/17/2024,ANA,@,TOR,2,9,L,,21,29,32,15,44,44,50,29,33,46.8,14,19
55,202402190BUF,02/19/2024,ANA,@,BUF,4,3,W,,14,6,37,4,28,60,31.8,19,44,30.2,24,17
56,202402210ANA,02/21/2024,ANA,vs,CBJ,4,7,L,,31,13,27,17,46,41,52.9,36,32,52.9,20,17
57,202402240LAK,02/24/2024,ANA,@,LAK,2,3,L,SO,24,10,50,6,55,79,41,38,67,36.2,16,32
58,202402250ANA,02/25/2024,ANA,vs,NSH,2,4,L,,31,13,29,11,55,49,52.9,36,32,52.9,17,22
59,202402290SJS,02/29/2024,ANA,@,SJS,6,4,W,,30,14,28,12,46,45,50.5,34,32,51.5,23,30
60,202403010ANA,03/01/2024,ANA,vs,NJD,4,3,W,,23,13,55,19,35,79,30.7,26,60,30.2,25,36
61,202403030ANA,03/03/2024,ANA,vs,VAN,1,2,L,,18,4,31,2,44,54,44.9,29,36,44.6,15,22
62,202403060ANA,03/06/2024,ANA,vs,OTT,2,1,W,,16,8,30,10,36,57,38.7,23,41,35.9,13,19
63,202403080ANA,03/08/2024,ANA,vs,DAL,2,6,L,,27,10,36,8,42,47,47.2,27,36,42.9,20,23
64,202403100ANA,03/10/2024,ANA,vs,NYI,1,6,L,,23,12,19,6,40,34,54.1,28,26,51.9,18,19
