Team,Player,PlayerID,GP,GA,GAA,SA,SV,SV%,Shutouts,W,L,OT/SOL,TOI,ATOI
MTL,Jake Allen,allenja01,21,74,3.65,686,612,87.90%,0,6,15,3,1216.33,57.92
NJD,Jake Allen,allenja01,12,37,3.12,356,319,88.62%,0,5,7,1,710.55,59.21
CAR,Frederik Andersen,anderfr01,16,28,1.84,410,382,90.86%,3,14,2,1,912.88,57.06
COL,Justus Annunen,annunju01,14,30,2.25,414,384,91.96%,3,8,6,1,801.08,57.22
NYI,Kenneth Appleby,appleke01,1,2,6,8,6,75.00%,0,1,1,1,20,20
NSH,Yaroslav Askarov,askarya01,2,2,1.47,35,33,96.55%,1,1,1,1,81.67,40.83
STL,Jordan Binnington,binnijo01,57,156,2.84,1786,1630,90.45%,3,29,28,5,3291.48,57.75
SJS,Mackenzie Blackwood,blackma01,44,140,3.45,1383,1243,88.80%,3,11,33,4,2437.13,55.39
FLA,Sergei Bobrovsky,bobrose01,58,135,2.37,1584,1449,90.83%,6,36,22,4,3414.23,58.87
WPG,Laurent Brossoit,brossla01,23,45,2,620,575,92.45%,3,15,8,2,1351.03,58.74
EDM,Jack Campbell,campbja01,5,20,4.5,157,137,85.22%,0,1,4,1,266.78,53.36
SJS,Magnus Chrona,chronma01,9,37,4.71,262,225,83.76%,0,1,8,1,471.25,52.36
BUF,Eric Comrie,comrier01,10,32,3.69,254,222,86.89%,0,2,8,1,519.9,51.99
SJS,Devin Cooley,coolede01,6,25,4.98,192,167,84.15%,0,2,4,1,301.48,50.25
LAK,Pheonix Copley,copleph01,8,23,3.16,177,154,83.04%,1,5,3,2,436.28,54.54
SEA,Joey Daccord,daccojo01,50,116,2.46,1374,1258,89.84%,4,19,31,11,2832.78,56.66
NJD,Nico Daws,dawsni01,21,60,3.15,568,508,87.78%,1,9,12,1,1144.05,54.48
VAN,Thatcher Demko,demkoth01,51,123,2.45,1492,1369,91.53%,6,35,16,2,3015.88,59.13
VAN,Casey DeSmith,desmica01,29,80,2.89,759,679,89.54%,3,14,15,6,1663.48,57.36
NYR,Louis Domingue,dominlo01,1,1,1,26,25,96.20%,0,1,1,1,60,60
